Film name,Genre,Plot,Directed by,Written by,Story by,Produced by,Starring,Cinematography,Edited by,Music by,Production company,Distributed by,Release date,Running time,Budget,Box office
"$30,000",Mystery,"A struggling attorney is given $30,000 by a young female client who wishes him to use it to purchase a necklace which her brother has stolen and she wants to recover before he gets into trouble.",Ernest C. Warde,Jack Cunningham / H.B. Daniel,,,J. Warren Kerrigan / Fritzi Brunette / Carl Stockdale,Arthur L. Todd,,,,Hodkinson Pictures / Pathé Exchange,"February 29, 1920",50 minutes,,
13 Hours by Air,Mystery,"Airline pilot Jack Gordon (Fred MacMurray) on a flight from New York to San Francisco, is immediately attracted to beautiful passenger Felice Rollins (Joan Bennett). Known as a ""lady's man"", he bets stewardess Vi Johnson (Ruth Donnelly) that he will take Felice out to dinner that evening.  A jewel robbery is in the news and a beautiful blonde is implicated, with Jack suspecting that Felice may be the culprit. On a stop over in Chicago, Jack learns instead that his passenger is a wealthy socialite at odds with another passenger, Count Stephani (Fred Keating). Jack worries that he may have a crisis involving the Count when he finds Stephani has a gun aboard. Other passengers include Dr. Evarts (Brian Donlevy) and Curtis Palmer (Alan Baxter), both of whom seem to be harboring a secret.
Felice is trying to get to San Francisco in order to prevent her sister from marrying the Count's brother, but the flight runs into bad weather. Jack and Freddie Scott (John Howard), his co-pilot, are persuaded to fly on, but are eventually forced to make an emergency landing. Dr. Evarts tells Jack he is a federal agent pursuing Palmer, a notorious criminal. Palmer shoots Freddie and Dr. Everts and hijacks the aircraft. Jack manages to overcome Palmer, and with the help of Felice, is able to take off and fly to San Francisco. When the flight lands, he is able to have his dinner with Felice, collecting his bet, knowing that he will need the money for a marriage licence.",Mitchell Leisen,Kenyon Nicholson/ Bogart Rogers,,E. Lloyd Sheldon,Fred MacMurray/ Joan Bennett,Theodor Sparkuhl,Doane Harrison,Heinz Roemheld (composer)/ Irvin Talbot (conductor),,Paramount Pictures,"April 30, 1936",77 minutes,,
13 Lead Soldiers,Mystery,"Dr Stedman is murdered by an intruder in his study and two toy soldiers are stolen from his desk. The next day, Hugh Drummond reads about the murder in the newspaper. He is approached by a friend, Phillip Coleman, who tells him that he owns two similar figures and that he has received first offers, then threats to sell them. According to Coleman, the soldiers are 900 years old, dating back to the time of William the Conqueror. Coleman leaves the two painted lead figures with Drummond for safety and asks him to look into the affair. To flush out whoever is trying to get the figurines they plant a press story that Drummond has bought them from Coleman.
When a woman, who introduces herself as journalist Estelle Gorday, visits Drummond's apartment, she recognizes the right figures out of a collection that Drummond has assembled on his mantle piece. Drummond and his friend Longworth then visit Stedman Manor and meet the daughter of the victim, Cynthia. She tells them that her father's figures were very similar to those brought by Drummond but different in detail and that they were part of a set of 13 soldiers that Dr Stedman bought at auction together with an Anglo-Saxon palimpsest. He was translating that when he was killed and the scroll was also taken. Dr Stedman was convinced that the statues were exceedingly valuable and he received an offer to buy them from a man called Vane. Vane offered a multiple of what Stedman has paid and left very angry when rejected.
Drummond and Longworth follow an invitation by Ms Gorday. While they are there, Vane breaks into Drummond's apartment and steals the two soldiers. Coleman and Seymour, another friend of Drummond's, shadow him to a Soho flat. Seymour fetches Drummond and they return to Soho. Drummond and Longworth go up. A knife is thrown at them and they find Vane dead and the soldiers missing.
The next day, Drummond and his friends are at Inspector McIver's office when  Ms Stedman identifies the dead man as Vane. Drummond visits Gorday and tells her that he smelled her perfume at the Soho flat. He searches her place and finds the palimpsest. She admits to working for Vane, who was a collector who owned the other soldiers.
Drummond next shows the palimpsest to Ms Stedman in the presence of Coleman. He tells them that he has done research on the soldiers: the figurines show the 13 last leaders of the Anglo-Saxons before the Norman Conquest. Before being defeated, King Harold hid his treasure at a manor near London and had the parchment with a map and instructions written, whilst the figures served as the cipher/key to find the hiding place. After the battle of Hastings, the soldiers were dispersed. Monks overwrote the parchment and the original writing was only rediscovered by Dr Stedman.
Drummond, Cynthia Stedman and Coleman go to the spot shown on the map. The current house dates to King George I and is occupied by an antiques store. Inside, they discover a medieval fireplace and walls. When they inquire about the soldiers, the store owner asks them to leave. Later, Ms Gorday visits Drummond and threatens him with a gun, demanding the palimpsest. She admits to being the daughter of the shop keeper, Mr Prager. He owns the other nine soldiers and wants the four others and the palimpsest. Prager and his daughter hired Vane to find them but were horrified when he killed Dr Stedman. She admits to being at Soho and to throwing the knife at Drummond.
Ms Stedman comes to the store with the parchment, shadowed by Seymor and Longworth. They wait outside and meet Ms Gorday/Prager and Drummond when they arrive. Entering, they find Prager dead. Drummond discovers Coleman with all 13 soldiers inside the shop. Coleman attacks but is overpowered. They call the police and find Cynthia, who said Coleman had asked her to come and that she had been hit on the head on arrival. Drummond arranges the soldiers on a pedestal just like in the drawing and their weight distribution opens a secret door. They find the treasure. The arriving McIver takes a figure, causing the stone door to start closing. Coleman tries to flee but is shot and then trapped and crushed by the door. The others manage to leave the secret room when the figure is replaced.",Frank McDonald,Herman C. McNeile/ Irving Elman,,Bernard Small/ Ben Pivar,Tom Conway/ Maria Palmer/ Helen Westcott/ John Newland/ Terry Kilburn,George Robinson,Saul A. Goodkind,,,Twentieth Century-Fox Film Corporation,30 April 1948,64 minutes,"$150,000","$400,000 (worldwide)"
The 13th Letter,Mystery,"Doctor Pearson (Michael Rennie), who works at a hospital in Quebec, Canada, receives a series of poison pen letters.  More letters, all signed with the mysterious picture of a feather, are delivered to others in the small Canadian town. Cora Laurent (Constance Smith), the wife of the main doctor - Dr. Laurent (Charles Boyer) - at the hospital, receives a letter accusing her of having an affair with Pearson. Another letter informs a shell-shocked veteran Mr. Gauthier that he is dying of cancer, causing the distraught man to commit suicide.  Quickly, the townsfolk begin pointing fingers at all possible suspects.",Otto Preminger,,,Otto Preminger,Linda Darnell/ Charles Boyer/ Michael Rennie/ Constance Smith,Joseph LaShelle,Louis R. Loeffler,Alex North,,20th Century Fox,,85 minutes,"$1,075,000",
The 13th Man,Mystery,"Swifty Taylor, a journalist with the Globe Times, hunts for the underworld figure responsible for the killing of a crusading district attorney, murdered by curare-laced dart while attending a prizefight, and of a reporter who had got too close to the truth. Meanwhile, Taylor's secretary, Julie, hopes to persuade him to settle down and marry her.",William Nigh,John W. Krafft,,Trem Carr (executive producer) Lon Young (associate producer),Weldon Heyburn/ Inez Courtney/ Selmer Jackson/ Matty Fain/ Milburn Stone/ Grace Durkin/ Robert Homans/ Eadie Adams/ Sidney Payne,Paul Ivano,Russell F. Schoengarth,Abe Meyer,,Monogram Pictures,1937,70 minutes,,
813 (film),Mystery,"As summarized in a film publication, Robert Castleback (Lewis) has plans for worldwide power through a mysterious secret that he possesses. Arsene Lupin (Nowell), master thief but loyal Frenchman, knows of the secret and is attempting to obtain state papers held by Castleback. Two other persons in the employ of the Kaiser are attempting the same thing. Castleback is murdered and some suspect Lupin, who announces his intention to catch the real killer. Disguised as the chief of police, he works fearlessly alongside the police. Soon he comes into contact with another master criminal, Ribeira (Beery), who is masquerading as Maj. Parbury, and Lupin suspects that he is complicit in the crime. Lupin falls in love with Dolores Castleback (Adams), widow of the murdered man. When Ribeira, to get rid of Lupin, steals his daughter and informs Lupin that he will have to go alone to a deserted house to get her back, Lupin goes, foils the plot to kill him, and escapes through a tunnel that comes out in the home of Delores. As he turns from the mantelpiece where he has discovered the hiding place of the state papers, he sees a mysterious man that he has been trailing. To Lupin's horror he finds that the man is really Delores, who is in reality a German criminal. She kills herself and Lupin escapes.",Charles Christie/ Scott Sidney,,Maurice Leblanc,Al Christie,Wedgwood Nowell/ Ralph Lewis/ Wallace Beery/ J. P. Lockney/ William V. Mong/ Colling kenny/ Milton Ross,Anton Nagy,,,,Robertson-Cole Pictures Corporation,1920,6 reels,,
"70,000 Witnesses",Mystery,"Buck Buchanan plays football for State, but his criminal brother Slip Buchanan has placed a whopping $350,000 wager on University defeating State in the upcoming big game.
Slip attempts to coerce his brother into drugging a star teammate, Wally Clark, so he is unable to play. Buck refuses to do so, but is distracted on the field of play by his suspicions that Slip will find another way to do Wally harm.
Sure enough, just as Wally is about to score a State touchdown, he collapses at the 5 yard line. As 70,000 spectators look on, Wally is carried from the field and expires. A doctor rules the death accidental, but a police detective, Dan McKenna, is so convinced of foul play, he has the players reassembled and the entire football play re-enacted, solving the case.",Ralph Murphy,,,Charles R. Rogers,Phillips Holmes/ Dorothy Jordan/ Charlie Ruggles/ Johnny Mack Brown/ J. Farrell MacDonald/ Lew Cody/ David Landau,Henry Sharp,,Harold Lewis,,Paramount Pictures,"September 9, 1932",69 minutes,,
The Ace of Scotland Yard,Mystery,"Retired CID inspector Angus Blake tries to prevent a female jewel thief named the Queen of Diamonds from stealing a valuable ring which, according to legend, carries a curse.",Ray Taylor,,Harold M. Atkinson,,Crauford Kent/ Florence Allen/ Grace Cunard,John Hickson,Alvin Todd,,,,September 1929,,,
Ace the Case,Mystery,An intrepid 10-year-old girl (Ripley Sobo) tries to help a veteran New York detective (Susan Sarandon) solve the kidnapping of a young woman (Luna Tieu).,Kevin Kaufman,Kevin Kaufman,,Kevin Kaufman,Ripley Sobo/ Lev Gorn/ Susan Sarandon,Pat Darrin,,,,Gravitas Ventures,"August 26, 2016Bentonville Film Festival)",94 minutes,,
The Acquittal,Mystery,As described in a trade magazine:,Clarence Brown,Jules Furthman,,,Claire Windsor/ Norman Kerry/ Richard Travers/ Barbara Bedford,Silvano Balboni,,,,Universal Pictures,1923,7 reels,,
